그룹,단어,뜻
[301~330],glass,"유리, 컵, 안경"
[301~330],airport,"비행장, 공항"
[301~330],player,"경기자, 선수"
[301~330],cave,동굴
[301~330],hurry,서두르다 서두름
[301~330],hospital,병원
[301~330],company,"회사, 친구"
[301~330],football,축구
[301~330],baseball,야구
[301~330],basketball,농구
[301~330],lesson,"과, 수업, 교훈"
[301~330],dream,"꿈, 꿈꾸다"
[301~330],dead,죽은
[301~330],either,"어느 하나의, ～도 또한"
[301~330],whose,"누구의, 누구의 것"
[301~330],plan,"계획, 계획하다"
[301~330],sail,"돛, 항해하다"
[301~330],careful,주의 깊은
[301~330],excuse,"용서하다, 변명하다, 변명"
[301~330],follow,"따르다, 따라오다"
[301~330],touch,"대다, 접촉, 감동시키다,"
[301~330],ski,"스키, 스키를 타다"
[301~330],speech,"연설, 말"
[301~330],toward,"～쪽으로, ～을 향하여"
[301~330],corner,"구석, 모퉁이"
[301~330],plant,"식물, 공장, 심다"
[301~330],maybe,"아마, 어쩌면 (=perhaps)"
[301~330],special,특별한
[301~330],useful,"쓸모 있는, 유용한"
[301~330],Christmas,크리스마스
[331~360],crowd,군중
[331~360],rock,바위
[331~360],reason,"이유, 이성"
[331~360],science,과학
[331~360],museum,박물관
[331~360],wonder,"놀람, 이상하게 여기다"
[331~360],around,"주위에, 약, ～쯤"
[331~360],over,"～위에, ～이상"
[331~360],nice,"좋은, 훌륭한"
[331~360],letter,편지
[331~360],another,"또하나의, 다른"
[331~360],bedroom,침실
[331~360],same,같은 (≠different)
[331~360],near,"가까운, 가까이"
[331~360],week,주
[331~360],few,"소수의, 거의 없는"
[331~360],often,종종
[331~360],room,방
[331~360],bell,"종, 방울"
[331~360],tree,나무
[331~360],train,"기차, 훈련하다"
[331~360],life,"생명, 생활, 인생"
[331~360],picture,"그림, 사진"
[331~360],city,"도시, 시"
[331~360],each,"각각의, 개개의"
[331~360],hour,"시간, 시각"
[331~360],most,"가장 많은, 대부분"
[331~360],poster,"포스터, 벽보"
[331~360],sometimes,가끔
[331~360],meet,만나다
